,Amount,SUPERVISOR Involved,PRE_APPROVER Involved,DIRECTOR Involved,BUDGET_OWNER Involved,ADMINISTRATOR Involved,Number Of Levels,APPROVED/REJECTED,Throughput Time
declaration 53364,487.68417877795815,1,0,0,0,1,2,1,191419.0
declaration 53352,365.5481057859475,1,0,0,0,1,2,1,443946.0
declaration 53348,215.88841071123016,1,0,0,0,1,2,1,2153672.0
declaration 25488,64.4739281842715,1,0,0,0,1,2,1,592187.0
declaration 24513,157.18840579614988,1,0,0,0,1,2,1,676123.0
declaration 53366,519.5083668110877,1,0,0,0,1,2,1,194414.0
declaration 53346,245.13225917410597,1,0,0,0,1,2,1,622401.0
declaration 5819,68.81450625501355,1,0,0,0,1,2,1,359500.0
declaration 53350,274.37610763698177,1,0,0,0,1,2,1,443151.0
declaration 53358,486.8240655878736,1,0,0,0,1,2,1,609328.0
declaration 53370,120.41584661184153,1,0,0,0,1,2,1,320483.0
declaration 5821,65.82257120044775,1,0,0,0,1,2,1,627501.0
declaration 53354,427.4762554720374,1,0,0,0,1,2,1,616735.0
declaration 53368,481.6633864473661,1,0,0,0,1,2,1,518124.0
declaration 53362,360.38742664544,1,0,0,0,1,2,1,446407.0
declaration 53360,256.3137306452055,1,0,0,0,1,2,1,445883.0
declaration 53356,217.60863709139932,1,0,0,0,1,2,1,353039.0
declaration 53372,351.78629474459416,1,0,0,0,1,2,1,622065.0
declaration 64238,141.07252142977885,1,0,1,0,1,3,1,1796987.0
declaration 64234,297.675962649992,1,0,1,0,1,3,1,1286280.0
declaration 66601,251.80485836920553,1,0,1,0,1,3,1,585216.0
declaration 32591,56.29133108952495,1,0,0,1,1,3,1,437298.0
declaration 64240,54.35821926652029,1,0,1,0,1,3,1,331890.0
declaration 32587,49.53637135878196,1,0,0,1,1,3,1,432913.0
declaration 32585,24.76818567939098,1,0,0,1,1,3,1,432702.0
declaration 32583,56.29133108952495,1,0,0,1,1,3,1,186314.0
declaration 66605,180.72119021713317,1,0,1,0,1,3,1,251531.0
declaration 32581,49.53637135878196,1,0,0,1,1,3,1,111621.0
declaration 32589,149.73494069813637,1,0,0,1,1,3,1,533619.0
declaration 32579,49.53637135878196,1,0,0,1,1,3,1,595048.0
declaration 66603,180.72119021713317,1,0,1,0,1,3,1,288007.0
declaration 66597,3543.340136190591,1,0,1,0,1,3,1,361441.0
declaration 64236,114.54053345445345,1,0,1,0,1,3,1,5513698.0
declaration 66599,730.113608477218,1,0,1,0,1,3,1,496775.0
declaration 64242,277.6151912540143,1,0,1,0,1,3,1,859638.0
declaration 32595,49.53637135878196,1,0,0,1,1,3,1,546031.0
declaration 64246,190.25376743282098,1,0,1,0,1,3,1,363860.0
declaration 64244,236.8465268041241,1,0,1,1,1,4,1,1129082.0
declaration 66607,156.6250315215154,1,0,1,0,1,3,1,601355.0
declaration 32593,49.53637135878196,1,0,0,1,1,3,1,632662.0
declaration 32597,51.78802460236296,1,0,0,1,1,3,1,518779.0
declaration 14200,63.72299788592048,1,0,1,1,1,4,1,445491.0
declaration 64103,45.65438515847704,1,0,1,1,1,4,1,631591.0
declaration 14197,0.0,1,0,1,1,1,4,0,14390.0
declaration 42176,5541.03063324099,1,0,1,1,1,4,1,4340162.0
declaration 64105,45.65438515847704,1,0,1,1,1,4,1,630975.0
