,Amount,SUPERVISOR Involved,PRE_APPROVER Involved,DIRECTOR Involved,BUDGET_OWNER Involved,ADMINISTRATOR Involved,Number Of Levels,APPROVED/REJECTED,Throughput Time
declaration 76457,39.66456144659199,1,0,0,0,0,1,1,532359.0
declaration 76667,346.54490293603493,1,0,0,0,0,1,1,532415.0
declaration 73654,56.97276880677626,1,0,0,0,0,1,1,625015.0
declaration 73596,15.482037421522481,1,1,1,0,0,3,1,601488.0
declaration 73594,131.5973180829411,1,1,1,0,0,3,1,601183.0
declaration 73592,164.28161930615522,1,1,1,0,0,3,1,600726.0
declaration 73584,208.14739200046893,1,1,1,0,0,3,1,516533.0
declaration 73578,146.219242314379,1,1,1,0,0,3,1,275276.0
declaration 73586,265.77497573613596,1,1,1,0,0,3,1,517738.0
declaration 73580,14.6219242314379,1,1,1,0,0,3,1,276163.0
declaration 73576,293.29859781884255,1,1,1,0,0,3,1,275017.0
declaration 73566,31.824188033129545,1,1,1,0,0,3,1,520379.0
declaration 73574,535.8505174226948,1,1,1,0,0,3,1,266779.0
declaration 73572,526.3892723317643,1,1,1,0,0,3,1,870557.0
declaration 73588,188.3647886285235,1,1,1,0,0,3,1,713735.0
declaration 73590,255.45361745512093,1,1,1,0,0,3,1,544125.0
declaration 73570,31.824188033129545,1,1,1,0,0,3,1,532868.0
declaration 73564,61.06803649600534,1,1,1,0,0,3,1,519300.0
declaration 73568,305.3401824800267,1,1,1,0,0,3,1,532076.0
declaration 73582,199.54626009962308,1,0,1,0,1,3,1,1140770.0
declaration 72590,14.569043850933994,1,1,0,0,0,2,1,1379474.0
declaration 143637,709.7045574782288,1,0,0,0,0,1,1,636282.0
declaration 74628,0.0,1,0,0,0,0,1,0,0.0
declaration 143644,399.6910006621769,1,0,0,0,0,1,1,1491214.0
declaration 72817,614.0805294164306,1,1,0,0,0,2,1,617726.0
declaration 76810,42.903031715630824,1,0,0,0,0,1,1,1910596.0
declaration 76291,6.278492446189876,1,0,0,0,0,1,1,1909988.0
declaration 143578,86.80216540505067,1,0,0,0,0,1,1,270673.0
declaration 76685,246.37524517264168,1,0,0,0,0,1,1,523543.0
declaration 76038,635.2514478871398,1,1,0,0,0,2,1,263309.0
declaration 74088,279.06558808889054,1,0,0,0,0,1,1,602505.0
declaration 76299,198.58748831686427,1,0,0,0,0,1,1,538163.0
declaration 73662,46.06601549799594,1,0,0,0,0,1,1,934240.0
declaration 76308,95.09987739174827,1,0,0,0,0,1,1,547978.0
declaration 76186,1054.6740294960018,1,1,0,0,0,2,1,1290788.0
declaration 73012,321.6155568566093,1,1,1,0,0,3,1,7865867.0
declaration 73010,763.8369475344472,1,1,1,0,0,3,1,4945923.0
declaration 76318,2196.992008934237,1,0,1,0,0,2,1,289071.0
declaration 143585,331.3069723992817,1,1,0,0,0,2,1,1404491.0
declaration 76549,319.85866559908953,1,1,0,0,0,2,1,601319.0
declaration 143657,1522.555246877337,1,0,0,0,0,1,1,1400803.0
declaration 143598,202.1693257938568,1,0,0,0,0,1,1,533969.0
declaration 143605,1397.508511758526,1,0,0,0,0,1,1,1741176.0
declaration 143612,0.0,0,0,0,0,0,0,0,0.0
declaration 143664,888.9856930189769,1,0,0,0,0,1,1,1663045.0
declaration 73728,821.9636065443057,1,0,0,0,0,1,1,354660.0
declaration 76197,74.64153283360672,1,1,0,0,0,2,1,875223.0
declaration 73740,264.73827200900377,1,0,0,0,0,1,1,615444.0
declaration 77110,920.1943612037388,1,1,0,0,0,2,1,631325.0
declaration 76215,588.7704881983716,1,1,1,0,0,3,1,286560.0
declaration 77880,402.8060897102356,1,1,0,0,0,2,1,1136431.0
declaration 72863,1294.0226951971447,1,0,0,0,0,1,1,1034581.0
declaration 72381,577.4127774252486,1,0,0,0,0,1,1,1393045.0
declaration 76818,1018.3208900332536,1,0,1,0,0,2,1,1231896.0
declaration 143670,187.128826125812,1,0,0,0,0,1,1,632781.0
declaration 74191,449.81856725107684,1,0,0,0,0,1,1,621411.0
declaration 76329,461.28935038680555,1,0,0,0,0,1,1,639198.0
declaration 73798,610.4095311512791,1,0,0,0,0,1,1,447011.0
declaration 73029,4197.653086949198,1,0,1,0,0,2,1,1561592.0
declaration 75907,2594.541203608695,1,1,1,0,0,3,1,1471298.0
declaration 143617,1061.6683523643126,1,0,0,0,0,1,1,626205.0
declaration 76388,829.6059623580447,1,0,0,0,0,1,1,626413.0
declaration 77786,636.7432134041993,1,0,0,0,0,1,1,864632.0
declaration 73750,555.115436664515,1,0,0,0,0,1,1,365517.0
declaration 77794,512.7394496069627,1,0,0,0,0,1,1,1052725.0
declaration 73678,949.0143076514539,1,1,0,0,0,2,1,872150.0
declaration 75856,291.94621852310723,1,1,0,0,0,2,1,801928.0
declaration 75865,904.5963767130293,1,0,1,0,0,2,1,770609.0
declaration 76898,817.5914781510862,1,1,0,0,0,2,1,1490967.0
declaration 143624,1441.4618597888382,1,0,0,0,0,1,1,871790.0
declaration 72392,305.44251572977157,1,1,0,0,0,2,1,774127.0
declaration 143630,252.54742926384245,1,0,0,0,0,1,1,1473875.0
declaration 72871,108.5841793881333,1,0,0,0,0,1,1,936235.0
declaration 75923,108.5841793881333,1,0,0,0,0,1,1,936133.0
declaration 72545,164.3456784334982,1,0,0,0,0,1,1,535705.0
declaration 73279,828.9897678077698,1,0,0,0,0,1,1,375684.0
declaration 73687,571.109840096693,1,0,0,0,0,1,1,1414925.0
declaration 73670,297.7114185811092,1,0,0,0,0,1,1,7603792.0
declaration 76151,1064.9478995751276,1,0,0,0,0,1,1,701212.0
declaration 143467,183.99301189932325,1,0,0,0,0,1,1,589759.0
declaration 76398,1234.7257414644885,1,1,1,0,0,3,1,2594498.0
declaration 72535,126.7248891556553,1,1,0,0,0,2,1,696298.0
declaration 73695,264.428145894452,1,1,0,0,0,2,1,852716.0
declaration 76563,109.76016155524674,1,0,0,0,0,1,1,531484.0
declaration 76571,330.5238334240676,1,0,0,0,0,1,1,455627.0
declaration 73248,292.5022213192594,1,1,0,0,0,2,1,605485.0
declaration 73705,615.4507705081814,1,1,0,0,0,2,1,1231215.0
declaration 143474,710.5538954952582,1,0,0,0,0,1,1,448707.0
declaration 73758,350.45087788935757,1,1,0,0,0,2,1,625222.0
declaration 72581,887.756339103456,1,1,0,0,0,2,1,3215247.0
declaration 73718,243.26726099514786,1,1,0,0,0,2,1,1144894.0
declaration 73041,637.7285974465609,1,0,0,0,0,1,1,638708.0
declaration 76426,1460.7135789375286,1,0,0,0,0,1,1,3969873.0
declaration 77017,561.5938799628029,1,1,0,0,0,2,1,284124.0
declaration 73845,258.0964317337797,1,1,0,0,0,2,1,978570.0
declaration 76836,262.62092190438665,1,1,0,0,0,2,1,605128.0
declaration 76159,243.28597245813958,1,1,0,0,0,2,1,603952.0
declaration 77374,943.2928285279097,1,0,0,0,0,1,1,1144514.0
declaration 73260,649.3200489476726,1,0,0,0,0,1,1,959132.0
declaration 143481,663.3179677724969,1,0,0,0,0,1,1,960322.0
declaration 143488,2239.606105693442,1,0,0,0,0,1,1,955715.0
declaration 73856,813.6883476826223,1,1,0,0,0,2,1,723335.0
declaration 76581,390.15878341728245,1,1,0,0,0,2,1,709498.0
declaration 143519,184.84416142085547,1,0,0,0,0,1,1,2694199.0
declaration 143496,904.0878848007735,1,0,0,0,0,1,1,874683.0
declaration 143502,393.48237017561524,1,1,0,0,0,2,1,519339.0
declaration 143513,26.77260958463212,1,0,0,0,0,1,1,850623.0
declaration 72341,1841.8674543881805,1,1,0,0,0,2,1,1048584.0
declaration 76414,209.25899941212887,1,1,0,0,0,2,1,551613.0
declaration 143526,928.4691456184926,1,0,0,0,0,1,1,887969.0
declaration 77382,192.5786530954656,1,1,0,0,0,2,1,621921.0
declaration 77892,1714.8144734505863,1,1,0,0,0,2,1,699442.0
declaration 143532,913.0373575359151,1,0,0,0,0,1,1,617197.0
declaration 72921,95.58015675591552,1,0,0,0,0,1,1,1237632.0
declaration 73828,435.5294909439887,1,0,0,0,0,1,1,518902.0
declaration 143539,1750.6917456697763,1,0,0,0,0,1,1,546316.0
