,Amount,SUPERVISOR Involved,PRE_APPROVER Involved,DIRECTOR Involved,BUDGET_OWNER Involved,ADMINISTRATOR Involved,Number Of Levels,APPROVED/REJECTED,Throughput Time
declaration 73596,15.482037421522481,1,1,1,0,0,3,1,6.961666666666667
declaration 73594,131.5973180829411,1,1,1,0,0,3,1,6.958136574074074
declaration 73592,164.28161930615522,1,1,1,0,0,3,1,6.952847222222222
declaration 73584,208.14739200046893,1,1,1,0,0,3,1,5.978391203703704
declaration 73578,146.219242314379,1,1,1,0,0,3,1,3.1860648148148147
declaration 73586,265.77497573613596,1,1,1,0,0,3,1,5.992337962962963
declaration 73580,14.6219242314379,1,1,1,0,0,3,1,3.1963310185185185
declaration 73576,293.29859781884255,1,1,1,0,0,3,1,3.1830671296296296
declaration 73566,31.824188033129545,1,1,1,0,0,3,1,6.022905092592593
declaration 73574,535.8505174226948,1,1,1,0,0,3,1,3.0877199074074073
declaration 73572,526.3892723317643,1,1,1,0,0,3,1,10.075891203703703
declaration 73588,188.3647886285235,1,1,1,0,0,3,1,8.26082175925926
declaration 73590,255.45361745512093,1,1,1,0,0,3,1,6.297743055555555
declaration 73570,31.824188033129545,1,1,1,0,0,3,1,6.167453703703703
declaration 73564,61.06803649600534,1,1,1,0,0,3,1,6.010416666666667
declaration 73568,305.3401824800267,1,1,1,0,0,3,1,6.158287037037037
declaration 72590,14.569043850933994,1,1,0,0,0,2,1,15.96613425925926
declaration 74628,0.0,1,0,0,0,0,1,0,0.0
declaration 72817,614.0805294164306,1,1,0,0,0,2,1,7.149606481481482
declaration 76810,42.903031715630824,1,0,0,0,0,1,1,22.11337962962963
declaration 76291,6.278492446189876,1,0,0,0,0,1,1,22.106342592592593
declaration 76685,246.37524517264168,1,0,0,0,0,1,1,6.059525462962963
declaration 76038,635.2514478871398,1,1,0,0,0,2,1,3.0475578703703703
declaration 74088,279.06558808889054,1,0,0,0,0,1,1,6.9734375
declaration 76299,198.58748831686427,1,0,0,0,0,1,1,6.2287384259259255
declaration 73662,46.06601549799594,1,0,0,0,0,1,1,10.812962962962963
declaration 76308,95.09987739174827,1,0,0,0,0,1,1,6.342337962962963
declaration 76186,1054.6740294960018,1,1,0,0,0,2,1,14.939675925925926
declaration 73012,321.6155568566093,1,1,1,0,0,3,1,91.04012731481481
declaration 73010,763.8369475344472,1,1,1,0,0,3,1,57.244479166666665
declaration 76318,2196.992008934237,1,0,1,0,0,2,1,3.3457291666666666
declaration 76549,319.85866559908953,1,1,0,0,0,2,1,6.959710648148148
declaration 73728,821.9636065443057,1,0,0,0,0,1,1,4.104861111111111
declaration 76197,74.64153283360672,1,1,0,0,0,2,1,10.129895833333334
declaration 73740,264.73827200900377,1,0,0,0,0,1,1,7.123194444444445
declaration 77110,920.1943612037388,1,1,0,0,0,2,1,7.307002314814815
declaration 76215,588.7704881983716,1,1,1,0,0,3,1,3.316666666666667
declaration 77880,402.8060897102356,1,1,0,0,0,2,1,13.153136574074074
declaration 72863,1294.0226951971447,1,0,0,0,0,1,1,11.974317129629629
declaration 72381,577.4127774252486,1,0,0,0,0,1,1,16.12320601851852
declaration 76818,1018.3208900332536,1,0,1,0,0,2,1,14.258055555555556
declaration 74191,449.81856725107684,1,0,0,0,0,1,1,7.192256944444445
declaration 76329,461.28935038680555,1,0,0,0,0,1,1,7.398125
declaration 73798,610.4095311512791,1,0,0,0,0,1,1,5.173738425925926
declaration 73029,4197.653086949198,1,0,1,0,0,2,1,18.073981481481482
declaration 75907,2594.541203608695,1,1,1,0,0,3,1,17.02891203703704
declaration 76388,829.6059623580447,1,0,0,0,0,1,1,7.250150462962963
declaration 77786,636.7432134041993,1,0,0,0,0,1,1,10.007314814814816
declaration 73750,555.115436664515,1,0,0,0,0,1,1,4.230520833333333
declaration 77794,512.7394496069627,1,0,0,0,0,1,1,12.18431712962963
declaration 73678,949.0143076514539,1,1,0,0,0,2,1,10.094328703703704
declaration 75856,291.94621852310723,1,1,0,0,0,2,1,9.281574074074074
declaration 75865,904.5963767130293,1,0,1,0,0,2,1,8.919085648148148
declaration 76898,817.5914781510862,1,1,0,0,0,2,1,17.2565625
declaration 72392,305.44251572977157,1,1,0,0,0,2,1,8.95980324074074
declaration 72871,108.5841793881333,1,0,0,0,0,1,1,10.83605324074074
declaration 75923,108.5841793881333,1,0,0,0,0,1,1,10.834872685185186
declaration 72545,164.3456784334982,1,0,0,0,0,1,1,6.200289351851852
declaration 73279,828.9897678077698,1,0,0,0,0,1,1,4.348194444444444
declaration 73687,571.109840096693,1,0,0,0,0,1,1,16.37644675925926
declaration 73670,297.7114185811092,1,0,0,0,0,1,1,88.00685185185185
declaration 76151,1064.9478995751276,1,0,0,0,0,1,1,8.11587962962963
declaration 76398,1234.7257414644885,1,1,1,0,0,3,1,30.02891203703704
declaration 72535,126.7248891556553,1,1,0,0,0,2,1,8.05900462962963
declaration 73695,264.428145894452,1,1,0,0,0,2,1,9.869398148148148
declaration 76563,109.76016155524674,1,0,0,0,0,1,1,6.151435185185186
declaration 76571,330.5238334240676,1,0,0,0,0,1,1,5.2734606481481485
declaration 73248,292.5022213192594,1,1,0,0,0,2,1,7.007928240740741
declaration 73705,615.4507705081814,1,1,0,0,0,2,1,14.25017361111111
declaration 73758,350.45087788935757,1,1,0,0,0,2,1,7.236365740740741
declaration 72581,887.756339103456,1,1,0,0,0,2,1,37.21350694444445
declaration 73718,243.26726099514786,1,1,0,0,0,2,1,13.251087962962963
declaration 73041,637.7285974465609,1,0,0,0,0,1,1,7.392453703703704
declaration 76426,1460.7135789375286,1,0,0,0,0,1,1,45.947604166666665
declaration 77017,561.5938799628029,1,1,0,0,0,2,1,3.288472222222222
declaration 73845,258.0964317337797,1,1,0,0,0,2,1,11.326041666666667
declaration 76836,262.62092190438665,1,1,0,0,0,2,1,7.003796296296296
